,game_id,outcomes
1045,8527,WIN
1046,8528,LOSS
1047,8529,WIN
1048,8530,WIN
1049,8531,LOSS
1050,8532,WIN
1051,8533,WIN
1052,8534,WIN
1053,8535,WIN
1054,8536,LOSS
1055,8537,WIN
1056,8538,WIN
1057,8539,WIN
1058,8540,LOSS
1059,8541,LOSS
1060,8542,LOSS
1061,8543,WIN
1062,8544,WIN
1063,8545,LOSS
1064,8546,WIN
1065,8547,WIN
1066,8548,LOSS
1067,8549,WIN
1068,8550,WIN
1069,8551,LOSS
1070,8552,WIN
1071,8553,WIN
1072,8554,LOSS
1073,8555,LOSS
1074,8556,WIN
1075,8557,LOSS
1076,8558,WIN
1077,8559,LOSS
1078,8560,WIN
1079,8561,LOSS
1080,8562,WIN
1081,8563,LOSS
1082,8564,LOSS
1083,8565,WIN
1084,8566,LOSS
1085,8567,WIN
1086,8568,WIN
1087,8569,WIN
1088,8570,WIN
1089,8571,LOSS
1090,8572,LOSS
1091,8573,LOSS
1092,8574,WIN
1093,8575,WIN
1094,8576,LOSS
1095,8577,WIN
1096,8578,LOSS
1097,8579,WIN
1098,8580,WIN
1099,8581,LOSS
1100,8582,LOSS
1101,8583,WIN
1102,8584,WIN
1103,8585,WIN
1104,8586,LOSS
1105,8587,WIN
1106,8588,WIN
1107,8589,WIN
1108,8590,LOSS
1109,8591,LOSS
1110,8592,LOSS
1111,8593,LOSS
1112,8594,LOSS
1113,8595,WIN
1114,8596,WIN
1115,8597,WIN
1116,8598,LOSS
1117,8599,LOSS
1118,8600,LOSS
1119,8601,LOSS
1120,8602,WIN
1121,8603,LOSS
1122,8604,LOSS
1123,8605,WIN
1124,8606,LOSS
1125,8607,WIN
1126,8608,WIN
1127,8609,WIN
1128,8610,WIN
1129,8611,LOSS
1130,8612,WIN
1131,8613,LOSS
1132,8614,WIN
1133,8615,WIN
1134,8616,LOSS
1135,8617,WIN
1136,8618,WIN
1137,8619,LOSS
1138,8620,WIN
1139,8621,LOSS
1140,8622,WIN
1141,8623,LOSS
1142,8624,WIN
1143,8625,WIN
1144,8626,LOSS
1145,8627,WIN
1146,8628,LOSS
1147,8629,LOSS
1148,8630,WIN
1149,8631,LOSS
1150,8632,LOSS
1151,8633,WIN
1152,8634,LOSS
1153,8635,WIN
1154,8636,LOSS
1155,8637,WIN
1156,8638,LOSS
1157,8639,LOSS
1158,8640,WIN
1159,8641,LOSS
1160,8642,WIN
1161,8643,WIN
1162,8644,WIN
1163,8645,WIN
1164,8646,WIN
1165,8647,LOSS
1166,8648,WIN
1167,8649,LOSS
1168,8650,LOSS
1169,8651,WIN
1170,8652,LOSS
1171,8653,LOSS
1172,8654,WIN
1173,8655,WIN
1174,8656,LOSS
1175,8657,WIN
1176,8658,WIN
1177,8659,LOSS
