,Unnamed: 0,date,Team,Player1,Player2,Player3,Player4,Player5,game_id,Location,Outcome,spread
10746,4,2017-10-27,OKC,S. Adams,C. Anthony,P. George,A. Roberson,R. Westbrook,6643.0,AWAY,LOSS,3.0
10747,5,2017-10-28,OKC,S. Adams,C. Anthony,P. George,A. Roberson,R. Westbrook,6647.0,AWAY,WIN,32.0
10748,6,2017-10-31,OKC,S. Adams,C. Anthony,P. George,A. Roberson,R. Westbrook,6672.0,AWAY,WIN,19.0
10749,7,2017-11-03,OKC,S. Adams,C. Anthony,P. George,A. Roberson,R. Westbrook,6698.0,HOME,LOSS,7.0
10750,8,2017-11-05,OKC,S. Adams,C. Anthony,P. George,A. Roberson,R. Westbrook,6713.0,AWAY,LOSS,4.0
10751,9,2017-11-07,OKC,S. Adams,C. Anthony,P. George,A. Roberson,R. Westbrook,6727.0,AWAY,LOSS,8.0
10752,10,2017-11-09,OKC,S. Adams,C. Anthony,P. George,A. Roberson,R. Westbrook,6737.0,AWAY,LOSS,8.0
10753,11,2017-11-10,OKC,C. Anthony,P. George,D. Johnson,A. Roberson,R. Westbrook,6741.0,HOME,WIN,9.0
10754,12,2017-11-12,OKC,P. George,J. Grant,D. Johnson,A. Roberson,R. Westbrook,6760.0,HOME,WIN,13.0
10755,13,2017-11-15,OKC,C. Anthony,P. George,D. Johnson,A. Roberson,R. Westbrook,6781.0,HOME,WIN,13.0
10756,14,2017-11-17,OKC,S. Adams,C. Anthony,P. George,A. Roberson,R. Westbrook,6792.0,AWAY,LOSS,3.0
10757,15,2017-11-20,OKC,S. Adams,C. Anthony,P. George,A. Roberson,R. Westbrook,6817.0,AWAY,LOSS,7.0
10758,16,2017-11-22,OKC,S. Adams,C. Anthony,P. George,A. Roberson,R. Westbrook,6832.0,HOME,WIN,17.0
10759,17,2017-11-24,OKC,S. Adams,C. Anthony,P. George,A. Roberson,R. Westbrook,6842.0,HOME,LOSS,1.0
10760,18,2017-11-25,OKC,S. Adams,C. Anthony,P. George,A. Roberson,R. Westbrook,6852.0,AWAY,LOSS,16.0
10761,19,2017-11-29,OKC,S. Adams,C. Anthony,P. George,A. Roberson,R. Westbrook,6873.0,AWAY,LOSS,13.0
10762,20,2017-12-01,OKC,S. Adams,C. Anthony,P. George,A. Roberson,R. Westbrook,6893.0,HOME,WIN,4.0
10763,21,2017-12-03,OKC,S. Adams,C. Anthony,P. George,A. Roberson,R. Westbrook,6906.0,HOME,WIN,3.0
10764,22,2017-12-05,OKC,S. Adams,C. Anthony,P. George,A. Roberson,R. Westbrook,6920.0,HOME,WIN,6.0
10765,23,2017-12-07,OKC,Á. Abrines,S. Adams,C. Anthony,A. Roberson,R. Westbrook,6934.0,AWAY,LOSS,5.0
10766,24,2017-12-09,OKC,Á. Abrines,S. Adams,C. Anthony,A. Roberson,R. Westbrook,6951.0,AWAY,WIN,1.0
10767,25,2017-12-11,OKC,Á. Abrines,S. Adams,C. Anthony,P. George,R. Westbrook,6963.0,HOME,LOSS,13.0
10768,26,2017-12-13,OKC,Á. Abrines,S. Adams,C. Anthony,P. George,R. Westbrook,6973.0,AWAY,WIN,5.0
10769,27,2017-12-15,OKC,S. Adams,C. Anthony,P. George,A. Roberson,R. Westbrook,6990.0,AWAY,WIN,2.0
10770,28,2017-12-16,OKC,C. Anthony,P. George,D. Johnson,A. Roberson,R. Westbrook,7000.0,AWAY,LOSS,15.0
10771,29,2017-12-18,OKC,C. Anthony,P. George,D. Johnson,A. Roberson,R. Westbrook,7016.0,HOME,WIN,1.0
10772,30,2017-12-20,OKC,S. Adams,C. Anthony,P. George,A. Roberson,R. Westbrook,7029.0,HOME,WIN,28.0
10773,31,2017-12-22,OKC,S. Adams,C. Anthony,P. George,A. Roberson,R. Westbrook,7046.0,HOME,WIN,3.0
10774,32,2017-12-23,OKC,S. Adams,C. Anthony,P. George,A. Roberson,R. Westbrook,7057.0,AWAY,WIN,14.0
10775,33,2017-12-25,OKC,S. Adams,C. Anthony,P. George,A. Roberson,R. Westbrook,7065.0,HOME,WIN,5.0
10776,34,2017-12-27,OKC,S. Adams,C. Anthony,P. George,A. Roberson,R. Westbrook,7081.0,HOME,WIN,17.0
10777,35,2017-12-29,OKC,Á. Abrines,S. Adams,C. Anthony,A. Roberson,R. Westbrook,7095.0,HOME,LOSS,2.0
10778,36,2017-12-31,OKC,S. Adams,C. Anthony,P. George,J. Huestis,R. Westbrook,7111.0,HOME,LOSS,3.0
10779,37,2018-01-03,OKC,S. Adams,C. Anthony,T. Ferguson,P. George,R. Westbrook,7134.0,AWAY,WIN,37.0
10780,38,2018-01-04,OKC,S. Adams,C. Anthony,T. Ferguson,P. George,R. Westbrook,7136.0,AWAY,WIN,10.0
10781,39,2018-01-07,OKC,S. Adams,C. Anthony,T. Ferguson,P. George,R. Westbrook,7157.0,AWAY,LOSS,14.0
10782,40,2018-01-09,OKC,S. Adams,C. Anthony,T. Ferguson,P. George,R. Westbrook,7169.0,HOME,LOSS,11.0
10783,41,2018-01-10,OKC,S. Adams,C. Anthony,T. Ferguson,P. George,R. Westbrook,7180.0,AWAY,LOSS,16.0
10784,42,2018-01-13,OKC,S. Adams,C. Anthony,T. Ferguson,P. George,R. Westbrook,7198.0,AWAY,WIN,10.0
10785,43,2018-01-15,OKC,S. Adams,C. Anthony,T. Ferguson,P. George,R. Westbrook,7215.0,HOME,WIN,7.0
10786,44,2018-01-17,OKC,S. Adams,C. Anthony,P. George,A. Roberson,R. Westbrook,7229.0,HOME,WIN,24.0
10787,45,2018-01-20,OKC,S. Adams,C. Anthony,P. George,A. Roberson,R. Westbrook,7243.0,AWAY,WIN,24.0
10788,46,2018-01-23,OKC,S. Adams,C. Anthony,P. George,A. Roberson,R. Westbrook,7266.0,HOME,WIN,1.0
10789,47,2018-01-25,OKC,S. Adams,C. Anthony,P. George,A. Roberson,R. Westbrook,7280.0,HOME,WIN,9.0
10790,48,2018-01-27,OKC,S. Adams,C. Anthony,P. George,A. Roberson,R. Westbrook,7293.0,AWAY,WIN,13.0
10791,49,2018-01-28,OKC,S. Adams,C. Anthony,T. Ferguson,P. George,R. Westbrook,7304.0,HOME,WIN,10.0
10792,50,2018-01-30,OKC,S. Adams,C. Anthony,T. Ferguson,P. George,R. Westbrook,7313.0,AWAY,LOSS,6.0
10793,51,2018-02-01,OKC,S. Adams,C. Anthony,T. Ferguson,P. George,R. Westbrook,7334.0,AWAY,LOSS,3.0
10794,52,2018-02-02,OKC,S. Adams,C. Anthony,T. Ferguson,P. George,R. Westbrook,7341.0,HOME,LOSS,14.0
10795,53,2018-02-04,OKC,S. Adams,C. Anthony,T. Ferguson,P. George,R. Westbrook,7357.0,HOME,LOSS,4.0
10796,54,2018-02-06,OKC,S. Adams,C. Anthony,P. George,J. Huestis,R. Westbrook,7372.0,AWAY,WIN,20.0
10797,55,2018-02-08,OKC,S. Adams,R. Felton,P. George,J. Huestis,P. Patterson,7384.0,AWAY,LOSS,25.0
10798,56,2018-02-11,OKC,Á. Abrines,S. Adams,R. Felton,P. George,P. Patterson,7407.0,HOME,WIN,18.0
10799,57,2018-02-13,OKC,Á. Abrines,S. Adams,C. Anthony,P. George,R. Westbrook,7418.0,HOME,LOSS,8.0
10800,58,2018-02-14,OKC,Á. Abrines,S. Adams,C. Anthony,P. George,R. Westbrook,7429.0,AWAY,WIN,7.0
10801,59,2018-02-22,OKC,S. Adams,C. Anthony,P. George,J. Huestis,R. Westbrook,7439.0,AWAY,WIN,3.0
10802,60,2018-02-24,OKC,S. Adams,C. Anthony,P. George,J. Huestis,R. Westbrook,7455.0,AWAY,LOSS,32.0
10803,61,2018-02-26,OKC,S. Adams,C. Anthony,P. George,J. Huestis,R. Westbrook,7471.0,HOME,WIN,7.0
10804,62,2018-02-28,OKC,S. Adams,C. Anthony,P. George,J. Huestis,R. Westbrook,7487.0,AWAY,WIN,1.0
10805,63,2018-03-02,OKC,S. Adams,C. Anthony,P. George,J. Huestis,R. Westbrook,7501.0,AWAY,WIN,8.0
10806,64,2018-03-03,OKC,S. Adams,P. George,J. Huestis,P. Patterson,R. Westbrook,7509.0,AWAY,LOSS,8.0
10807,65,2018-03-06,OKC,S. Adams,C. Anthony,P. George,J. Huestis,R. Westbrook,7528.0,HOME,LOSS,10.0
10808,66,2018-03-08,OKC,S. Adams,C. Anthony,C. Brewer,P. George,R. Westbrook,7543.0,HOME,WIN,28.0
10809,67,2018-03-10,OKC,S. Adams,C. Anthony,C. Brewer,P. George,R. Westbrook,7558.0,HOME,WIN,10.0
10810,68,2018-03-12,OKC,S. Adams,C. Anthony,C. Brewer,P. George,R. Westbrook,7571.0,HOME,WIN,5.0
10811,69,2018-03-13,OKC,C. Anthony,C. Brewer,P. George,D. Johnson,R. Westbrook,7575.0,AWAY,WIN,12.0
10812,70,2018-03-16,OKC,S. Adams,C. Anthony,C. Brewer,P. George,R. Westbrook,7600.0,HOME,WIN,8.0
10813,71,2018-03-18,OKC,S. Adams,C. Anthony,C. Brewer,P. George,R. Westbrook,7614.0,AWAY,WIN,7.0
10814,72,2018-03-20,OKC,S. Adams,C. Anthony,C. Brewer,P. George,R. Westbrook,7627.0,AWAY,LOSS,1.0
10815,73,2018-03-23,OKC,S. Adams,C. Anthony,C. Brewer,P. George,R. Westbrook,7653.0,HOME,WIN,6.0
10816,74,2018-03-25,OKC,S. Adams,C. Anthony,C. Brewer,P. George,R. Westbrook,7669.0,HOME,LOSS,3.0
