,slug,name,Team,Location,Opponent,Outcome,date,game_id1,game_id2,game_id3,game_id4,null_count
161341,luwawti01,Timothé Luwawu-Cabarrot,OKLAHOMA_CITY_THUNDER,HOME,HOUSTON_ROCKETS,WIN,2018-11-08,,8033.0,,8043.0,2
80608,muscami01,Mike Muscala,ATLANTA_HAWKS,AWAY,OKLAHOMA_CITY_THUNDER,LOSS,2015-12-10,,4271.0,4274.0,,2
75517,inglida01,Damien Inglis,MILWAUKEE_BUCKS,HOME,BROOKLYN_NETS,WIN,2015-11-07,,4022.0,,4032.0,2
143165,dinwisp01,Spencer Dinwiddie,BROOKLYN_NETS,AWAY,WASHINGTON_WIZARDS,LOSS,2018-01-13,,7189.0,7198.0,,2
97016,larkish01,Shane Larkin,BROOKLYN_NETS,AWAY,MIAMI_HEAT,LOSS,2016-03-28,,5040.0,5051.0,,2
103977,hieldbu01,Buddy Hield,NEW_ORLEANS_PELICANS,AWAY,SACRAMENTO_KINGS,LOSS,2016-11-08,,5357.0,5364.0,,2
122686,jonesty01,Tyus Jones,MINNESOTA_TIMBERWOLVES,AWAY,MILWAUKEE_BUCKS,LOSS,2017-03-11,6227.0,,6237.0,,2
58080,diawbo01,Boris Diaw,SAN_ANTONIO_SPURS,AWAY,CHARLOTTE_HORNETS,WIN,2015-01-14,,3201.0,3206.0,,2
3689,garneke01,Kevin Garnett,BOSTON_CELTICS,AWAY,ATLANTA_HAWKS,LOSS,2013-01-25,628.0,,631.0,,2
132801,brookaa01,Aaron Brooks,MINNESOTA_TIMBERWOLVES,HOME,CHARLOTTE_HORNETS,WIN,2017-11-05,6702.0,,,6711.0,2
179961,derozde01,DeMar DeRozan,SAN_ANTONIO_SPURS,HOME,PORTLAND_TRAIL_BLAZERS,WIN,2019-03-16,8912.0,,,8919.0,2
56275,nealga01,Gary Neal,CHARLOTTE_HORNETS,AWAY,ORLANDO_MAGIC,WIN,2015-01-03,3116.0,,3127.0,,2
113286,batumni01,Nicolas Batum,CHARLOTTE_HORNETS,AWAY,DETROIT_PISTONS,LOSS,2017-01-05,5787.0,,5795.0,,2
