,name,slug,year,Team,Lineup_name
450,Tristan Thompson,thomptr01,2012,CLE,T. Thompson
451,Marcus Thornton,thornma01,2012,SAC,M. Thornton
452,Jamaal Tinsley,tinslja01,2012,UTA,J. Tinsley
453,Anthony Tolliver,tollian01,2012,MIN,A. Tolliver
454,Ronny Turiaf,turiaro01,2012,WAS,R. Turiaf
455,Ronny Turiaf,turiaro01,2012,MIA,R. Turiaf
456,Hedo Türkoğlu,turkohe01,2012,ORL,H. Türkoğlu
457,Evan Turner,turneev01,2012,PHI,E. Turner
458,Jeremy Tyler,tylerje01,2012,GSW,J. Tyler
459,Edwin Ubiles,ubileed01,2012,WAS,E. Ubiles
460,Ekpe Udoh,udohek01,2012,GSW,E. Udoh
461,Ekpe Udoh,udohek01,2012,MIL,E. Udoh
462,Beno Udrih,udrihbe01,2012,MIL,B. Udrih
463,Ben Uzoh,uzohbe01,2012,CLE,B. Uzoh
