,date,Team,Player1,Player2,Player3,Player4,Player5,game_id,Location,Outcome,spread
5436,2013-01-13,IND,P. George,R. Hibbert,G. Hill,L. Stephenson,D. West,550,AWAY,LOSS,11.0
9248,2013-01-13,NYK,C. Anthony,T. Chandler,C. Copeland,J. Kidd,J. White,548,HOME,WIN,13.0
3267,2013-01-13,DEN,K. Faried,D. Gallinari,A. Iguodala,K. Koufos,T. Lawson,552,HOME,WIN,11.0
11965,2013-01-13,POR,L. Aldridge,N. Batum,J. Hickson,D. Lillard,W. Matthews,553,HOME,LOSS,4.0
2182,2013-01-13,CLE,A. Gee,K. Irving,C. Miles,T. Thompson,T. Zeller,554,AWAY,LOSS,20.0
13053,2013-01-13,SAS,T. Duncan,D. Green,K. Leonard,T. Parker,T. Splitter,551,HOME,WIN,18.0
17267,2013-01-13,NOP,A. Aminu,A. Davis,E. Gordon,R. Lopez,G. Vásquez,548,AWAY,LOSS,13.0
8156,2013-01-13,MIL,M. Ellis,E. İlyasova,B. Jennings,L. Mbah a Moute,L. Sanders,549,AWAY,WIN,11.0
14138,2013-01-14,UTA,R. Foye,A. Jefferson,P. Millsap,J. Tinsley,M. Williams,561,HOME,WIN,7.0
1637,2013-01-14,CHI,C. Boozer,L. Deng,R. Hamilton,K. Hinrich,J. Noah,557,HOME,WIN,39.0
551,2013-01-14,BOS,B. Bass,A. Bradley,K. Garnett,P. Pierce,R. Rondo,556,HOME,WIN,11.0
8702,2013-01-14,MIN,D. Cunningham,A. Kirilenko,N. Peković,L. Ridnour,A. Shved,559,AWAY,LOSS,15.0
10335,2013-01-14,ORL,A. Afflalo,D. Jones,J. Nelson,A. Nicholson,N. Vučević,555,AWAY,LOSS,29.0
7611,2013-01-14,MIA,C. Bosh,M. Chalmers,U. Haslem,L. James,D. Wade,561,AWAY,LOSS,7.0
14679,2013-01-14,WAS,B. Beal,N. Hilário,E. Okafor,A. Price,M. Webster,555,HOME,WIN,29.0
12510,2013-01-14,SAC,D. Cousins,T. Evans,J. Salmons,I. Thomas,J. Thompson,562,HOME,WIN,6.0
7066,2013-01-14,MEM,T. Allen,M. Conley,W. Ellington,M. Gasol,Z. Randolph,558,HOME,LOSS,26.0
9793,2013-01-14,OKC,N. Collison,K. Durant,K. Perkins,T. Sefolosha,R. Westbrook,560,AWAY,WIN,12.0
7,2013-01-14,ATL,D. Harris,A. Horford,K. Korver,J. Smith,J. Teague,557,AWAY,LOSS,39.0
2183,2013-01-14,CLE,A. Gee,K. Irving,C. Miles,T. Thompson,T. Zeller,562,AWAY,LOSS,6.0
11423,2013-01-14,PHO,S. Brown,G. Dragić,M. Gortat,L. Scola,P. Tucker,560,HOME,LOSS,12.0
16723,2013-01-14,CHO,B. Biyombo,G. Henderson,M. Kidd-Gilchrist,K. Walker,H. Warrick,556,AWAY,LOSS,11.0
5978,2013-01-14,LAC,E. Bledsoe,C. Butler,W. Green,B. Griffin,D. Jordan,558,AWAY,WIN,26.0
2725,2013-01-14,DAL,D. Collison,C. Kaman,S. Marion,O. Mayo,D. Nowitzki,559,HOME,WIN,15.0
10880,2013-01-15,PHI,L. Allen,J. Holiday,J. Richardson,E. Turner,T. Young,564,HOME,LOSS,12.0
16724,2013-01-15,CHO,B. Biyombo,G. Henderson,M. Kidd-Gilchrist,K. Walker,H. Warrick,563,HOME,LOSS,27.0
3268,2013-01-15,DEN,K. Faried,D. Gallinari,A. Iguodala,K. Koufos,T. Lawson,567,HOME,WIN,4.0
5979,2013-01-15,LAC,E. Bledsoe,C. Butler,W. Green,B. Griffin,D. Jordan,566,AWAY,WIN,8.0
4894,2013-01-15,HOU,Ö. Aşık,J. Harden,J. Lin,C. Parsons,P. Patterson,566,HOME,LOSS,8.0
6522,2013-01-15,LAL,K. Bryant,E. Clark,D. Howard,S. Nash,M. World Peace,568,HOME,WIN,16.0
